,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
20,Pauline Johnson Memorial,Memorial or monument,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=102,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0a33f024594a26d4dc750fdad6b1b80c,Stanley Park,"This memorial cairn includes a bronze plaque on natural rock. It marks the resting place of Johnson's ashes.  The poet had in fact specifically asked that no memorial be raised.  (from E.Godley, Public & Office Building Art in Greater Vancouver, The Greater Vancouver Book)",1922,"49.301409, -123.156609"
21,Untitled,Sculpture,In place,1457 E.13th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=104,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8fbe62e6e44e3107c0ac455ed5625053,Kensington-Cedar Cottage,,1970,"49.258796, -123.074643"
22,Wind Blown Mounds,Sculpture,In place,1616 West 13th Avenue (at Fir),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=105,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c35f0715ceccccc9ba03523235e1b64b,Fairview,,1975,"49.25976, -123.141344"
23,Statue of Discovolos (the Discus Thrower),Sculpture,In place,1100 Chestnut Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=109,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/3ecc02283b50b959805ede8bac1773a5,Kitsilano,"The Statue of Discovolos (the Discus Thrower) was donated to the City of Vancouver, in honor of Canada&#39;s centenary, by AHEPA Vancouver (Gladstone chapter) on behalf of the Hellenes, located at Vanier Park behind the Vancouver Planetarium and Centennial Museum.",1969,"49.276484, -123.143789"
24,Gate to the Northwest Passage,Sculpture,In place,1100 Chestnut Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=110,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b420e69aa6cd4ff61cdabd3f971e5824,Kitsilano,"The large steel sculpture is set on a 26' x 28' plaza of paving stones. The sculpture consists of a 15' square of corten steel. Each side of the square is 15' long by 3'  high by 3' wide. The bottom side appears to be cut apart in the middle and the two parts wrenched apart to form a gate or arch.  The corten steel is designed so that the surface rust forms a protective coating.  There was some adverse reaction from Kits Point residents when the work was installed. Michael Duncan, Chief Curator of the Maritime Museum at the time, called it ""a bloody monstrosity."" An article in the Globe and Mail teased that it could be ""the world's largest paper clip."" The article (Mar3, 1981) also quoted from a city planning study which read: ""Vancouver's peerless natural setting is a permanent gift from nature. So massive and close are the North Shore mountains that no amount of human folly can ever obliterate them.""  But the controversy soon abated and the piece has weathered time and opinion. It was vandalized on July 4th, 1988, when a field of white dots were painted on its surfaces -probably as an art ""intervention"". The dots were soon removed. Since then, the ""Gate to the Northwest Passage"" has become a familiar landmark, an important place marker which stands guard at the entrance to False Creek. The area around the site is a favorite for kite flyers.",1980,"49.278127, -123.144964"
25,Primavera,Mural,In place,1075 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=136,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d6a6724d81846b5bf7cf0e78a3b7a86e,Downtown,A large colourful acrylic on plywood mural adorns the lobby of the Bloedel Building. Butterflies are one of the signature forms of BC artist Jack Shadbolt and this is a particularly exuberant grouping bounded by two large butterflies on each end.,1987,"49.285715, -123.122389"
26,"Themis, Goddess of Justice",Figurative,In place,"800 Smithe Street, 4th floor",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=137,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/9e3978f2101671a1a79c37a1ed33924d,Downtown,"The Goddess of Justice represents justice in the mythical character of Diana, a woman of noble bearing in a flowing gown holding up the scales of justice. Though Diana traditionally held a sword in her other hand, the artist, who was against capital punishment, replaced the sword with a scroll. The sculpture is cast in bronze using the lost-wax method.",1982,"49.280592, -123.124017"
27,Al of the Gispudwada (Black Bear Crest of the Killer Whale Tribe),Totem pole,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=140,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f5fec95d76c2daeeb9a0ef196a7b92c3,Shaughnessy,"This Gitksan pole of red cedar was commissioned by the VanDusen Botanical Gardens Association. It incorporates the following figures and legend: human form at the top - a hunter who went into the mountains, was captured by a black bear, and assumed the bear form; human head in the top figure's stomach - a friendly villager who assisted ""Bear Man"" to resume his human form when everyone else abandoned him; the bear figure at bottom represents ""Bear Man"" before being turned back into human form; the human head in bear's stomach indicates that bear figure is ""Bear Man"" (from VanDusen Garden website)",1976,"49.239068, -123.134604"
29,British Columbia Beginning,Mosaic,In place,586 Granville Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=150,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/185035fad3eda8421ae8c01e4755e548,Downtown,"This 13 'x 44' mosaic done in ceramic tile is a complex of geometric form and line, a modernist abstraction in golds, browns, and reds. A maquette of the mosaic is held in the collection of the Vancouver Art Gallery, as detailed in the book ""BC Binning"" produced by the VAG.The forms are characteristic of work by this artist who also designed the tilework on the old BC Hydro Building (1957) now The Electra Suites on Burrard.",1958,"49.28351, -123.11602"
30,Fisher Hauling in the Net,Figurative,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=155,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5b4adb0ea17c41051c564298e0c52573,Shaughnessy,"This fisherman, modeled in clay and then cast in bronze, stuggles to pull in a non-existing net heavy with imaginary fish from the pond beside which he is situated.",1976,"49.239145, -123.129578"
31,The Dreamer (Christopher Columbus),Sculpture,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=159,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c2c415c838c3be64c78133c5cbe56107,Hastings-Sunrise,"A commemorative statue that represents Christopher Columbus as a boy, it was originally installed in a small square at Clark Street and 5th Avenue.

Donated by the Citizens of Genoa, Supported by the Region of Liguria. Erected by the Confrotellanza Italo-Canadese for the Italian community in memory of the Honourable Angelo E. Branca, Q.C. October 11, 1996.",1986,"49.284136, -123.042774"
32,Harry Jerome,Sculpture,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=162,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5a86e0cde96194551b9022eec1b893a6,Stanley Park,,1986,"49.298222, -123.119053"
33,Joe Fortes Drinking Fountain,Memorial or monument,In place,1600 block of Beach Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=163,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/85c72dc2d0c8e3e59a892bd537abc9f3,West End,"A heritage monument, this  granite water fountain has a carved text and  inset bronze relief plaque that commemorates the first  lifeguard at this beach.",1927,"49.285563, -123.142386"
34,Whaling Wall VIII,Mural,No longer in place,1190 Melville Street (Downtown),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=168,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0ad6c6bc1a72410b3298843be8f4b06c,Downtown,The large mural covers the side of the building in blues and greys and features a pod of Orca Whales on the northern BC coast.,1985,"49.287533, -123.124284"
35,Untitled (Shanghai lions),Sculpture,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=174,,Downtown,a pair of carved granite lions,1995,"49.284804, -123.099243"
36,Observing Your Society,Sculpture,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=196,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6e59c83853ae227f16ab9f6b28ead83e,Shaughnessy,Three faces emerge from this solid white marble form.,1975,"49.238647, -123.132556"
37,In Memoriam of Teilhard de Chardin,Sculpture,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=200,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2b71a9128b1ae5b165a636b6af9bd430,Shaughnessy,Abstract form; Part of the 1975 Symposium;,1975,"49.239524, -123.133001"
38,Kakaso'las,Totem pole,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=202,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e2f5d50e998e8ff341283180f9ba231f,Stanley Park,"This is a Kwakwaka'wakw pole which shows an Eagle, a SeaBear, a woman holding a frog, Bookwus (the Wild Man of the woods) and Dzoonokwa and a Raven at the base.",1955,"49.299207, -123.120828"
39,All Our Knowledge has its Origins in Our Perceptions,Site-integrated work,In place,2969 E. 22nd Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=204,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8e912f341b6e25bd5409b5a64098c42d,Renfrew-Collingwood,,1995,"49.250885, -123.042243"
40,Welcome to the Land of Light,Site-integrated work,In place,False Creek shoreline walk at the foot of Drake Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=213,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/98460e535c21d3d1bd941ace431c0e90,Downtown,Aluminum letters spelling out phrases in Chinook (an early coastal trading language) and English are placed along the railing of the sea wall in two parallel lines. Coloured light pulses through an inset fibre-optic cable in the sidewalk directly below the letters.,1997,"49.271158, -123.120188"
41,Persian Wall,Sculpture,In place,1200 West Georgia Street at Bute Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=216,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/caa9a31f71e884585e9e7f6a87add818,West End,"Large blown glass florets (called Persians by the artist)  in colours of red, yellow, orange and blue are suspended in a rectangular glass case set in flowing water.",1998,"49.287548, -123.125581"
42,Perennials,Fountain or water feature,In place,"1088 Cambie Street, Pacific Blvd. at Cambie Street",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=218,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/4aa6bdc6aabbef46b8bef161d393afaf,Downtown,"A semi-circle of shattered glass screens with etched leaves is visible from the street and lit at night.  In the courtyard is a 4,500 sq. ft. leaf-shaped pool; situated around it are black granite seats with a word - hybrid, seasonal, wild, uprooted, perennial, transplanted - carved into each like the title of a botanical drawing. The leaf pool is visible in it's entirety from the suites above.",1997,"49.274768, -123.118877"
43,Healing the Cut - Bridging the Gap,Site-integrated work,In place,Over Grandview Cut between Broadway and 10th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=224,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5c9b30eeb5fe6c4cc8edc393e0f45017,Kensington-Cedar Cottage,"Nesting boxes, planting, and a telescope in an alcove of Victoria Dr. Bridge",1996,"49.261805, -123.066068"
44,Wind Swimmer,Sculpture,In place,Cornwall Street at N. Foot of Yew,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=225,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/22cb592fe297a1e89689fb3b0c5b02f3,Kitsilano,This wind sculpture is a woman in a bathing suit who has articulated limbs that allow her to swim through the air. The speed of her movements is controlled by a propeller and the local wind currents at Kitsilano beach.,1996,"49.273272, -123.157342"
45,Backstop: A Stage for Wordsworth,Site-integrated work,In place,E 37th & Prince Edward,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=231,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c32addcbff953a0ed30c015aa2286fe2,RileyPark,"A stage backdrop including curtains and columns made of coloured fencing is superimposed over an ordinary sports backstop cage.  An aluminum sheet along the top of the backstop acts as a pediment and displays a quote from Wordsworth:  ""This city now doth like a garment wear the beauty of the morning; silent, bare, ships, towers, domes, theatres, and temples lie open upon the fields, and to the sky.""",1998,"49.237275, -123.097212"
46,Ten Thousand Faucets & Doorknobs,Site-integrated work,In place,933 Seymour Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=234,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2f0b3964f6ea77e173636cbb8169b217,Downtown,"Fragments of residential architecture (door knobs, latches, plumbing fixtures, etc.) are sealed in amber coloured polyurethane and embedded in the sidewalk along the base of exterior columns and walls of the building.",1998,"49.279148, -123.121462"
47,Placed Upon the Horizon (Casting Shadows),Relief,In place,750 Hornby Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=238,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6b52c6e9b32d7af1487dad8b8f52e10d,Downtown,A  text in yellow cedar (Placed Upon the Horizon (Casting Shadows) is located on the south facade of the VancouverArt Gallery above the columns.,1990,"49.282599, -123.121271"
49,Mosaic Creek,Mosaic,In place,Charles Street & McLean Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=252,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cb1b7b2e11f7fecda912d122828fed65,Grandview-Woodland,"Mosaic Creek is a large mosaic in the shape of a creek made up of approximately 260 individual mosaics, each made by an individual or group of individuals. There are 3 separate sections of mosaic tile: the largest is approx. 80' long and varies in width and shape, the other two sections are approx. 10' long and 2 to 2.5' wide. The mosaics, set on a concrete base, are flush with the ground and flat across the surface, symbolically representing the surface of water. The park also includes a herb garden with a mosaic border designed by Glen Andersen and Marina Szijarto and wooden benches and a basalt pillar play area designed by Sarah White.",1996,"49.273288, -123.074147"
52,Trafalgar Tile Wall,Mural,In place,4170 Trafalgar,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=266,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/12ac07c2a6c23872fd88007ed6888acd,Arbutus Ridge,"The wall consists of 588 tiles, 6""x6"" each, created by each of  students at Trafalgar Elementary School.  The imagery represents cultural backgrounds and values, as well as historical highlights of the school's history.",1998,"49.249535, -123.164822"
53,Welcoming Walkway,Mosaic,In place,7646 Prince Albert,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=267,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6c36e039c72fdbfced43a66ac6787c92,Sunset,The project includes mosaics on the front walkway and also banners.,2001,"49.215366, -123.087683"
54,Sculpture Poems,Sculpture,In place,2929 East 22nd Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=268,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/4501cf68c6fcf6a193610d82d3dc4a3b,Renfrew-Collingwood,30-foot high faceted cedar poles with bronze Poem-Markers and six bollards sited beside ravine pathways,1996,"49.252022, -123.044155"
55,Dry Stream,Mosaic,In place,John Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=269,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/27a637228b9fdf800ed27b1dc3c53dcb,RileyPark,"A stone mosaic ""stream""runs beside the walkway.  It is animated with creatures inlaid and various colours of stone and ""flows"" from a small cave which could be the mouth of an animal.",1997,"49.247555, -123.097036"
56,Leaf Bench I & II,Sculpture,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=270,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/fe6c065b2090c6756c6bf707e51eecf6,Mount Pleasant,"Two steel leaf benches - one backless - take their inspiration from the veins of a leaf.  Fabricated with steel plate and flat bar, sandblasting and clear coated.",1997,"49.257805, -123.087206"
57,McGill Park,Mosaic,In place,2305 McGill,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=275,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6d660262611a7219a7e40a4f94f211f5,Hastings-Sunrise,"Unique benches, tables, and pebble mosaics are scattered along the path in this small corner park.",1997,"49.288612, -123.057441"
58,Converging Lines,Site-integrated work,In place,37th at Ross & at Colluden,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=277,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8be91d684aa652fd0af90ead1d5b2191,Kensington-Cedar Cottage,"""Clothes line"" sculpture installations at each street closure",1998,"49.236477, -123.082243"
59,"Vancouver Overture, Opus One",Fountain or water feature,In place,Cardero & Bayshore Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=280,,Downtown,Black concrete pavers are laid out in a grid.  Large granite blocks are placed throughout.  Lights and random fountain jets offset the granite blocks.,1998,"49.290946, -123.130378"
60,GRANtable,Sculpture,In place,Beach Avenue between Hornby & Howe Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=281,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/20ac567a2d92e14ead11f8749548988c,Downtown,"A giant, 66' long concrete table with two chairs at the ends and two side benches, the piece sits on the grass at the bottom of a stairway. It is surrounded by formal plantings. Table top is textured with playing board squares.",1998,"49.275212, -123.132059"
61,Salute to the Lions of Vancouver,Sculpture,In place,999 Canada Place Way,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=288,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/3725114eabf8f8ec9974a575e67fa50b,Downtown,"Two matching steel-cut lions jump through lighted hoops held between two vertical beams. The piece is situated on the west side of the deck around Canada Place and looks out at The Lions, the mountains across the bay.  ""This piece, which includes a bronze plaque commemorating Pauline Johnson, was commissioned from Falk by the architects after a cross-Canada competition failed to turn up anything they liked. The artist's original scheme, comprising eight dogs leaping through rings of fire (""I wanted it to be a real salute"") was modified considerably.""   (Elizabeth Godley, 671, The Greater Vancouver Book)",1991,"49.288861, -123.109588"
